,PROPERTY STATE,Month,INTEREST RATE,ON,1W,1M,2M,3M,6M,12M,spread between libor 12M,Corr with libor 12M,1 Mo,6 Mo,1 Yr,5 Yr,10 Yr,20 Yr,30 Yr,spread between 10 Yr treasury,Corr with 10 Yr treasury,spread between 20 Yr treasury,Corr with 20 Yr treasury,spread between 30 Yr treasury,Corr with 30 Yr treasury
244,MN,2012-05,5.3566666666666665,0.15161363636363637,0.19053181818181822,0.23893181818181805,0.3457045454545453,0.4665318181818183,0.732990909090909,1.0615068181818177,4.2951598484848486,-0.571431606031966,0.06590909090909093,0.14545454545454548,0.19181818181818186,0.7618181818181818,1.8031818181818189,2.525909090909091,2.930909090909091,3.553484848484848,-0.12382785909292086,2.8307575757575756,0.13563693850292347,2.4257575757575753,0.24317775902742966
245,MN,2012-06,5.0,0.163,0.19464736842105262,0.24319736842105263,0.3459342105263157,0.46558684210526313,0.7364000000000004,1.0691894736842107,3.9308105263157893,-0.571431606031966,0.05190476190476193,0.14809523809523809,0.18904761904761905,0.7114285714285714,1.6223809523809525,2.3061904761904763,2.698095238095238,3.3776190476190475,-0.12382785909292086,2.6938095238095237,0.13563693850292347,2.301904761904762,0.24317775902742966
246,MN,2012-08,4.75,0.15374090909090915,0.18745454545454548,0.23783863636363634,0.3331136363636364,0.43259999999999993,0.7177749999999997,1.0426272727272727,3.7073727272727273,-0.571431606031966,0.09217391304347829,0.14043478260869566,0.18347826086956526,0.7139130434782609,1.6782608695652175,2.3978260869565218,2.7708695652173914,3.0717391304347825,-0.12382785909292086,2.3521739130434782,0.13563693850292347,1.9791304347826086,0.24317775902742966
247,MN,2012-10,5.775,0.15320434782608702,0.17955217391304346,0.21346521739130433,0.2717391304347827,0.3304891304347827,0.5823021739130435,0.9185760869565219,4.8564239130434785,-0.571431606031966,0.10952380952380951,0.14904761904761904,0.17952380952380956,0.7085714285714285,1.7461904761904758,2.505714285714286,2.90047619047619,4.0288095238095245,-0.12382785909292086,3.2692857142857146,0.13563693850292347,2.87452380952381,0.24317775902742966
248,MN,2012-12,5.0,0.1631578947368421,0.1875157894736842,0.21092631578947374,0.2552894736842105,0.30947368421052623,0.5145657894736843,0.8483157894736841,4.151684210526316,-0.571431606031966,0.039500000000000014,0.11950000000000005,0.1585,0.6960000000000001,1.7189999999999999,2.4675000000000002,2.8835,3.281,-0.12382785909292086,2.5324999999999998,0.13563693850292347,2.1165,0.24317775902742966
249,MN,2013-04,5.0,0.1539047619047619,0.17210476190476193,0.19953333333333334,0.24005714285714277,0.27714285714285714,0.4360190476190476,0.7168333333333334,4.283166666666666,-0.571431606031966,0.049090909090909116,0.09409090909090913,0.12454545454545456,0.7104545454545454,1.7590909090909093,2.5500000000000003,2.9327272727272726,3.2409090909090907,-0.12382785909292086,2.4499999999999997,0.13563693850292347,2.0672727272727274,0.24317775902742966
250,MN,2013-07,4.75,0.12117913043478262,0.15611695652173913,0.19111913043478265,0.232388695652174,0.26758260869565215,0.40307869565217386,0.6838491304347826,4.0661508695652175,-0.571431606031966,0.020909090909090912,0.07363636363636367,0.12181818181818184,1.4031818181818183,2.5822727272727275,3.3072727272727276,3.605,2.1677272727272725,-0.12382785909292086,1.4427272727272724,0.13563693850292347,1.145,0.24317775902742966
251,MN,2013-08,5.0,0.11782999999999999,0.1493142857142857,0.1840704761904762,0.22633523809523812,0.2633952380952381,0.3949285714285714,0.6679499999999999,4.33205,-0.571431606031966,0.03681818181818183,0.07181818181818184,0.12681818181818183,1.5204545454545455,2.7372727272727273,3.488181818181818,3.757727272727273,2.2627272727272727,-0.12382785909292086,1.5118181818181822,0.13563693850292347,1.2422727272727272,0.24317775902742966
252,MN,2013-09,4.75,0.11272380952380952,0.14323238095238094,0.18057476190476196,0.22133904761904755,0.2531785714285715,0.38033809523809525,0.6526857142857143,4.097314285714286,-0.571431606031966,0.017500000000000005,0.04150000000000001,0.11850000000000002,1.5959999999999999,2.8095,3.526,3.7870000000000004,1.9405000000000001,-0.12382785909292086,1.2240000000000002,0.13563693850292347,0.9629999999999996,0.24317775902742966
253,MN,2013-10,5.0,0.10426086956521738,0.13668260869565219,0.17241521739130433,0.21265,0.2417652173913043,0.36121521739130424,0.6177847826086957,4.3822152173913045,-0.571431606031966,0.1059090909090909,0.07590909090909094,0.12136363636363635,1.366818181818182,2.615909090909091,3.3795454545454544,3.6759090909090903,2.384090909090909,-0.12382785909292086,1.6204545454545456,0.13563693850292347,1.3240909090909097,0.24317775902742966
254,MN,2013-11,4.875,0.10274761904761903,0.12919047619047616,0.1672714285714286,0.20747142857142856,0.2382452380952381,0.35063809523809525,0.5866738095238094,4.288326190476191,-0.571431606031966,0.046842105263157914,0.09842105263157898,0.12157894736842105,1.3710526315789473,2.7184210526315793,3.503684210526316,3.7999999999999985,2.1565789473684207,-0.12382785909292086,1.3713157894736838,0.13563693850292347,1.0750000000000015,0.24317775902742966
255,MN,2014-02,4.75,0.08627,0.11939250000000004,0.155105,0.19663749999999997,0.23520249999999998,0.3308,0.554605,4.1953949999999995,-0.571431606031966,0.046842105263157914,0.08105263157894738,0.11684210526315793,1.5157894736842106,2.7094736842105265,3.3847368421052626,3.6626315789473685,2.0405263157894735,-0.12382785909292086,1.3652631578947374,0.13563693850292347,1.0873684210526315,0.24317775902742966
